method,condition/dataset,model,table_source,full_kv_value,compressed_value,paired_relative_delta_pct,evidence_class,native_safe_lt10,crossing_ge10,floor_excluded_lt5,ceiling_excluded_gt95,ambiguous_native_also_ge10,measure_flagged,notes
SnapKV,"LongBench NrtvQA (native, E2 A1)",Mistral-7B-Instruct-v0.2,SnapKV.md sec10 Table1,26.82,25.54,-4.77,within-paper,1,0,0,0,0,0,"VERIFIED vs plan -4.8% (rounding). All KV row vs SnapKV-1024 (window 32 kernel 7). Native-safe; H1 witnessable track."
SnapKV,"LongBench GovReport (native obs, E2 A4)",Mistral-7B-Instruct-v0.2,not found in SnapKV.md,NA,NA,NA,none,0,0,0,0,0,1,"Plan transcription confirmed: NO in-paper Mistral GovReport value in note. -29.x% figure is LWM-Text-Chat column (see next row), NOT usable for Mistral prediction. Flag MEASURE."
SnapKV,"LongBench QMSum (native)",Mistral-7B-Instruct-v0.2,not found in SnapKV.md,NA,NA,NA,none,0,0,0,0,0,1,"No in-paper value in note. Flag MEASURE (E4 workload lists SnapKV on QMSum)."
SnapKV,"infBench En.Sum (non-native H1)",Mistral-7B-Instruct-v0.2,not found in SnapKV.md,NA,NA,NA,none,0,0,0,0,0,1,"SnapKV paper never evaluates infBench. No anchor. Flag MEASURE (E2 A2 open cell)."
SnapKV,"GSM8K 8-shot CoT (non-native H1)",Mistral-7B-Instruct-v0.2,not found in SnapKV.md,NA,NA,NA,none,0,0,0,0,0,1,"SnapKV paper never evaluates GSM8K/CoT. No anchor. Flag MEASURE (E2 A2 open cell)."
SnapKV,"LongBench GovReport (cross-model ref, NOT used)",LWM-Text-Chat-1M,SnapKV.md sec10 Table1,27.97,19.79,-29.25,within-paper,0,1,0,0,0,0,"Plan cites -29.3%; re-extracted 27.97->19.79 = -29.25% (rounding mismatch ~0.1pp). Model-mismatch vs E2 target (Mistral): NOT used for Mistral prediction. Single-dataset, cross-model."
KIVI,"CoQA (native, E2 B1)",Llama-2-7B,KIVI.md sec10 Table3,63.88,63.05,-1.30,within-paper,1,0,0,0,0,0,"VERIFIED vs plan -1.3%. 16bit row vs KIVI-2 row (2-bit G=32 R=128). TruthfulQA same table went UP (30.76->33.95, +10.4%)."
KIVI,"GSM8K 5-shot (native, E2 B1)",Llama-2-7B,KIVI.md sec10 Table3,13.50,12.74,-5.63,within-paper,1,0,0,0,0,0,"VERIFIED vs plan -5.6%. Absolute drop -0.76 pts (inside +-2-pt non-discriminating band but that band is for E2 bootstrap CIs; relative tolerance applies at E1)."
KIVI,"CoQA (in-suite obs, E2 B3 Falcon)",Falcon-7B (MQA),KIVI.md sec10 Table3,59.83,57.48,-3.93,within-paper,1,0,0,0,0,0,"VERIFIED vs plan -3.9%. Falcon runs truncated at max_seq 4096 (KIVI.md sec6/sec8; plan cites sec9 - citation mismatch only)."
KIVI,"GSM8K 5-shot (in-suite obs, E2 B3 Falcon)",Falcon-7B (MQA),KIVI.md sec10 Table3,4.55,3.41,-25.05,within-paper,0,1,1,0,0,0,"VERIFIED vs plan -25.1%. FLOOR-EXCLUDED: full-KV baseline 4.55 < 5 -> excluded from relative-drop statistics per locked plan sec7."
